"corpus"	"verbs"	"model"	"topics"	"run"	"perplexity"	"zerotopics"	"average_perplexity"	"var_ppl"	"dev_ppl"
"02-main.dev"	"root"	"lda"	50	1	1697.3910858423658	0	1700.3263655368635	55.60759488280422	7.457050012089514
"02-main.dev"	"root"	"lda"	50	2	1708.8044044254725	0	1700.3263655368635	55.60759488280422	7.457050012089514
"02-main.dev"	"root"	"lda"	50	3	1694.7836063427517	0	1700.3263655368635	55.60759488280422	7.457050012089514
"02-main.dev"	"root"	"lda"	100	1	1672.0248129104448	0	1664.1955120654466	47.20784919773069	6.870796838630196
"02-main.dev"	"root"	"lda"	100	2	1659.1698326574513	0	1664.1955120654466	47.20784919773069	6.870796838630196
"02-main.dev"	"root"	"lda"	100	3	1661.3918906284434	0	1664.1955120654466	47.20784919773069	6.870796838630196
"02-main.dev"	"root"	"verbonly"	50	1	165.15502271000145	0	165.30173266559223	0.10270934294135359	0.3204829838561692
"02-main.dev"	"root"	"verbonly"	50	2	165.66930947235218	0	165.30173266559223	0.10270934294135359	0.3204829838561692
"02-main.dev"	"root"	"verbonly"	50	3	165.080865814423	0	165.30173266559223	0.10270934294135359	0.3204829838561692
"02-main.dev"	"root"	"verbonly"	100	1	165.25037568490066	0	165.164234226728	0.005796128930996946	0.07613231200349131
"02-main.dev"	"root"	"verbonly"	100	2	165.13635776692047	0	165.164234226728	0.005796128930996946	0.07613231200349131
"02-main.dev"	"root"	"verbonly"	100	3	165.10596922836294	0	165.164234226728	0.005796128930996946	0.07613231200349131
"02-main.dev"	"root"	"verbonly"	500	1	165.21609082084336	99	165.2429704660217	0.18706721258299824	0.4325126733206765
"02-main.dev"	"root"	"verbonly"	500	2	164.82452450962606	106	165.2429704660217	0.18706721258299824	0.4325126733206765
"02-main.dev"	"root"	"verbonly"	500	3	165.68829606759567	100	165.2429704660217	0.18706721258299824	0.4325126733206765
"02-main.dev"	"root"	"verbonly"	1000	1	165.09740522438517	573	165.0329134619551	0.07840191085505482	0.28000341222037783
"02-main.dev"	"root"	"verbonly"	1000	2	165.27504418376785	576	165.0329134619551	0.07840191085505482	0.28000341222037783
"02-main.dev"	"root"	"verbonly"	1000	3	164.72629097771232	561	165.0329134619551	0.07840191085505482	0.28000341222037783
"02-main.dev"	"root"	"verbonly"	2000	1	165.11161326117133	1553	165.06358304429125	0.001855129058311535	0.043071209157760304
"02-main.dev"	"root"	"verbonly"	2000	2	165.02838970888308	1558	165.06358304429125	0.001855129058311535	0.043071209157760304
"02-main.dev"	"root"	"verbonly"	2000	3	165.05074616281934	1565	165.06358304429125	0.001855129058311535	0.043071209157760304
"02-main.dev"	"root"	"verbargs"	50	1	160.56465921072126	0	159.89070659329448	0.3850101902554984	0.6204918937870972
"02-main.dev"	"root"	"verbargs"	50	2	159.76432727495182	0	159.89070659329448	0.3850101902554984	0.6204918937870972
"02-main.dev"	"root"	"verbargs"	50	3	159.3431332942104	0	159.89070659329448	0.3850101902554984	0.6204918937870972
"02-main.dev"	"root"	"verbargs"	100	1	158.2627790467564	0	160.13600619996552	7.926401691370815	2.8153865971427114
"02-main.dev"	"root"	"verbargs"	100	2	163.3736340563456	0	160.13600619996552	7.926401691370815	2.8153865971427114
"02-main.dev"	"root"	"verbargs"	100	3	158.77160549679454	0	160.13600619996552	7.926401691370815	2.8153865971427114
"02-main.dev"	"root"	"verbargs"	500	1	159.19358770695047	0	161.53083644193237	4.662378494254623	2.1592541523069078
"02-main.dev"	"root"	"verbargs"	500	2	161.94757667115877	0	161.53083644193237	4.662378494254623	2.1592541523069078
"02-main.dev"	"root"	"verbargs"	500	3	163.45134494768783	0	161.53083644193237	4.662378494254623	2.1592541523069078
"02-main.dev"	"root"	"verbargs"	1000	1	166.330287213906	0	167.61921357443683	3.5553936748765773	1.8855751575783388
"02-main.dev"	"root"	"verbargs"	1000	2	169.78334622623976	2	167.61921357443683	3.5553936748765773	1.8855751575783388
"02-main.dev"	"root"	"verbargs"	1000	3	166.7440072831647	1	167.61921357443683	3.5553936748765773	1.8855751575783388
"02-main.dev"	"root"	"verbargs"	2000	1	162.05617515216622	189	165.12276960343	16.923123721354504	4.113772444041418
"02-main.dev"	"root"	"verbargs"	2000	2	169.79774195150262	175	165.12276960343	16.923123721354504	4.113772444041418
"02-main.dev"	"root"	"verbargs"	2000	3	163.51439170662104	205	165.12276960343	16.923123721354504	4.113772444041418
"02-main.dev"	"root"	"verbchain"	50	1	235.65943228088707	0	235.64883033923243	0.4332649661543574	0.6582286579558485
"02-main.dev"	"root"	"verbchain"	50	2	234.98536474972738	0	235.64883033923243	0.4332649661543574	0.6582286579558485
"02-main.dev"	"root"	"verbchain"	50	3	236.30169398708287	0	235.64883033923243	0.4332649661543574	0.6582286579558485
"02-main.dev"	"root"	"verbchain"	100	1	233.409542473244	0	233.32802546303898	0.6216759532212617	0.7884643005369752
"02-main.dev"	"root"	"verbchain"	100	2	232.50196944361042	0	233.32802546303898	0.6216759532212617	0.7884643005369752
"02-main.dev"	"root"	"verbchain"	100	3	234.07256447226254	0	233.32802546303898	0.6216759532212617	0.7884643005369752
